Name,Year,Brand,Mileage,Price,Reviews,Rating,BrandNum
2017 Ford F-150 Platinum,2017,Ford,69629,26000,12,3.0,0
2019 RAM 1500 Rebel,2019,RAM,44452,35985,955,4.8,1
2017 RAM 1500 SLT,2017,RAM,70964,23604,474,4.4,1
2016 Ford F-250 Super Duty,2016,Ford,122164,24790,32,4.3,0
2017 Nissan Titan XD SL,2017,Nissan,58033,34603,474,4.4,2
2015 Toyota Tundra 1794,2015,Toyota,75023,31995,77,4.5,3
2019 GMC Sierra 1500 SLT,2019,GMC,12250,48950,223,4.8,4
2005 Dodge Ram 1500 SLT/Laramie Quad Cab,2005,Dodge,72913,17995,27,5.0,5
2017 RAM 2500 Tradesman,2017,RAM,52677,36975,30,4.6,1
2018 GMC Sierra 2500 SLE,2018,GMC,58885,39500,9,3.9,4
2008 Chevrolet Silverado 3500 LTZ Crew Cab,2008,Chevrolet,178168,26000,154,4.9,6
2019 Nissan Titan S,2019,Nissan,6457,35700,3327,3.6,2
2018 Ford F-150 XL,2018,Ford,45838,32978,34,4.1,0
2018 Ford F-250 XLT,2018,Ford,56208,39595,104,4.4,0
2013 Ford F-250 Platinum,2013,Ford,97000,34900,0,0.0,0
2018 Nissan Titan SV,2018,Nissan,22295,34995,104,4.4,2
2010 Ford F-250 XLT,2010,Ford,174607,14995,0,0.0,0
2010 Nissan Titan XE,2010,Nissan,107732,12776,232,2.3,2
2019 Ford F-150 XLT,2019,Ford,27930,33995,40,4.8,0
2013 Chevrolet Avalanche LS,2013,Chevrolet,57864,14900,2135,4.9,6
2008 Ford F-150 FX4 SuperCrew,2008,Ford,169788,11900,1,5.0,0
2017 Nissan Titan XD SV,2017,Nissan,54376,33995,140,4.8,2
2007 Lincoln Mark LT,2007,Lincoln,113880,13822,31,4.5,7
2006 Dodge Ram 1500 SLT,2006,Dodge,154209,3500,31,4.5,5
2015 Ford F-150 XLT,2015,Ford,25375,32277,11,3.4,0
2010 Ford Explorer Sport Trac Limited,2010,Ford,163327,11984,36,4.5,0
2015 Chevrolet Silverado 2500 LTZ,2015,Chevrolet,156669,37900,17,3.5,6
2019 GMC Sierra 1500 SLT,2019,GMC,6960,48500,52,4.7,4
